date,positive,nagetive,neutral, ’≈Ã,ø™≈Ã,∏ﬂ,µÕ
2021-12-08,11.951315104961395,19.193864092230797,-17.785399198532104,6.3435,6.3668,6.3675,6.3428
2021-12-09,38.92580811679363,-6.306725710630418,-25.32140091061592,6.3772,6.347,6.3786,6.3411
2021-12-10,18.37745800614357,18.145912351086736,-24.58735030889511,6.3685,6.383,6.384,6.3609
2021-12-13,29.556898534297943,-2.5459105521440515,-18.438133865594864,6.363,6.3664,6.3685,6.3584
2021-12-14,27.65100008994341,12.402768418192863,-26.92291358113289,6.3671,6.3715,6.3726,6.3597
2021-12-15,19.644274652004242,16.483026271685958,-24.840258479118347,6.3673,6.3647,6.3696,6.3618
2021-12-16,22.72510588169098,21.621172339189798,-31.705559104681015,6.3674,6.3664,6.371,6.3637
2021-12-17,21.45462329685688,5.980791583657265,-20.892629325389862,6.3748,6.3691,6.3845,6.3675
2021-12-20,13.38077887892723,10.95314466767013,-16.796784937381744,6.3756,6.3828,6.3847,6.3732
2021-12-21,-1.5712050050497048,38.89927726984024,-23.83443158864975,6.3716,6.3745,6.3769,6.367
2021-12-22,44.942366525530815,-9.527477372437716,-27.066636502742767,6.3695,6.3682,6.3752,6.3675
2021-12-23,45.95662246644497,-12.046988748013973,-25.675982236862183,6.3696,6.3685,6.3735,6.3671
2021-12-24,31.787016347050667,-13.692867517471313,-13.44534769654274,6.3672,6.372,6.3726,6.3658
2021-12-27,33.822247229516506,5.3980806060135365,-27.049301356077194,6.3705,6.3706,6.3749,6.3675
2021-12-28,10.34915266931057,26.498871149495244,-24.03308293223381,6.3684,6.3714,6.3743,6.3657
2021-12-29,19.0416112691164,16.442288234829903,-23.61086767911911,6.368,6.3687,6.3738,6.3659
2021-12-30,34.069104582071304,2.6304581910371785,-26.6399188041687,6.3691,6.3703,6.3797,6.3667
2021-12-31,22.028683573007584,2.8058133125305185,-19.872101545333862,6.3521,6.3762,6.379,6.3384
2022-01-03,22.271937869489193,-8.30108454823494,-11.160434901714325,6.3561,6.3561,6.3561,6.3561
2022-01-04,21.53500623255968,8.452513683587313,-19.64477464556694,6.3721,6.3719,6.3794,6.3691
2022-01-05,38.813346832990646,-2.7313390374183655,-25.91443532705307,6.364,6.3724,6.3745,6.3623
2022-01-06,16.582328885793686,18.690881326794624,-25.371786177158356,6.3822,6.3707,6.3859,6.3667
2022-01-07,14.111140608787537,24.44024598831311,-26.601427644491196,6.3769,6.3787,6.3832,6.371
2022-01-10,29.7961096316576,-0.4438695721328263,-22.94217723608017,6.3756,6.3744,6.3779,6.3698
2022-01-11,9.731151267886162,19.20021218061447,-18.05513870716095,6.3735,6.3722,6.3771,6.3685
2022-01-12,34.51318030804396,-2.558632854372263,-23.693508833646774,6.358,6.3688,6.3694,6.3566
2022-01-13,26.771778263151646,2.0249365344643597,-21.36996191740036,6.3595,6.3582,6.3651,6.3549
2022-01-14,18.842306047677994,24.406176584307104,-29.05930182337761,6.3524,6.3606,6.3618,6.3386
2022-01-17,35.17217619717121,-13.980920255184174,-15.755853176116943,6.3482,6.3586,6.359,6.3417
2022-01-18,39.90385939180851,-1.0342564913444225,-28.805262207984924,6.3525,6.347,6.356,6.3376
2022-01-19,27.51289513707161,-0.9811287075281143,-20.490208983421326,6.3447,6.3534,6.3561,6.3435
2022-01-20,29.036445304751396,11.91860130801797,-28.777201890945435,6.3406,6.3439,6.3478,6.3395
2022-01-21,11.498791947960852,27.15188583964482,-26.116547793149948,6.3385,6.345,6.346,6.3358
2022-01-24,18.898367881774902,13.676793778780848,-23.64974918961525,6.3304,6.3349,6.3354,6.3243
2022-01-25,30.6082174628973,0.5154399946331978,-25.649184077978134,6.3257,6.3285,6.3326,6.3223
2022-01-26,34.0829744040966,-2.2284449692815547,-25.75764372944832,6.3206,6.3225,6.3254,6.3186
2022-01-27,16.67383986711502,17.420539991930127,-23.240217834711075,6.3643,6.3363,6.3706,6.3356
2022-01-28,38.32881037890911,-9.613497031386942,-23.409575581550598,6.3605,6.3654,6.3672,6.3528
2022-01-31,31.234088584780693,-15.575588583946228,-14.092002421617508,6.361,6.361,6.361,6.361
2022-02-01,2.133023649454117,-0.17099937796592712,-1.5547318756580353,6.361,6.361,6.361,6.361
2022-02-02,5.093599282205105,-0.15073806047439553,-3.6788459420204163,6.361,6.361,6.361,6.361
2022-02-03,1.9072806537151337,8.183566749095917,-6.876443982124329,6.361,6.361,6.361,6.361
2022-02-04,11.507432535290718,17.94806120544672,-17.939226061105728,6.361,6.361,6.361,6.361
2022-02-07,11.398596808314323,10.703803989104927,-15.599656879901886,6.3583,6.3569,6.3639,6.3544
2022-02-08,18.041351690888405,2.8432094901800156,-16.046739980578423,6.366,6.3565,6.372,6.3559
2022-02-09,8.518082924187183,14.142701514065266,-15.898308157920837,6.3619,6.3646,6.3657,6.3597
2022-02-10,24.4741430580616,9.524672627449036,-23.441910952329636,6.3526,6.3615,6.3637,6.352
2022-02-11,14.953521981835365,19.48050201125443,-23.610107481479645,6.354,6.3576,6.3679,6.3538
2022-02-14,40.81306850910187,-8.611692622303963,-24.312881112098694,6.3567,6.3545,6.3636,6.3541
2022-02-15,29.627069227397442,4.318632482085377,-25.137873768806458,6.3385,6.3542,6.3569,6.3378
2022-02-16,11.92759221792221,18.07485444098711,-20.07519879937172,6.3332,6.3386,6.3434,6.3324
2022-02-17,14.92272612452507,10.948540203273296,-17.34464341402054,6.3381,6.3323,6.3411,6.3292
2022-02-18,25.71448566019535,0.32846690714359283,-18.829814046621323,6.3251,6.3361,6.3376,6.324
2022-02-21,16.287186160683632,6.086282756179571,-16.811844795942307,6.3345,6.3275,6.3383,6.3219
2022-02-22,14.968924477696419,6.698106473311782,-16.439273566007614,6.326,6.3379,6.3465,6.3222
2022-02-23,23.624396115541458,6.930328704416752,-22.114860892295837,6.3134,6.3266,6.3316,6.3119
2022-02-24,11.576826512813568,21.761905651539568,-21.43961426615715,6.3283,6.3216,6.3322,6.3105
2022-02-25,46.17807560414076,-14.514904975891113,-25.51472157239914,6.3169,6.3231,6.3248,6.3116
2022-02-28,16.49055878818035,17.73567346483469,-22.475277930498123,6.3084,6.3194,6.32,6.3046
2022-03-01,15.881901502609253,11.348904684185982,-18.05131286382675,6.3116,6.3071,6.3161,6.3068
2022-03-02,21.583973921835423,10.531543364748359,-22.49326193332672,6.321,6.3135,6.3225,6.3089
2022-03-03,23.251733221113682,6.97856469079852,-22.091713190078735,6.3195,6.3191,6.3225,6.3143
2022-03-04,29.46639985591173,-1.5664307810366158,-18.871853560209274,6.3188,6.3201,6.3235,6.3139
2022-03-07,5.143974110484124,14.501623690128326,-14.745247721672058,6.3194,6.3258,6.3263,6.3158
2022-03-08,11.452520176768303,19.08666243776679,-20.150080680847168,6.3178,6.3162,6.3214,6.3095
2022-03-09,32.34147283434868,-1.3068771362304679,-25.388853520154953,6.3174,6.3174,6.3286,6.3123
2022-03-10,16.616735562682152,24.32010492682457,-28.768919110298157,6.3212,6.3169,6.3264,6.3151
